Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2020-01-01,27.3,9.5,18.55,8.4
Padang,2020-01-02,27.7,2.9,21.86,9.2
Padang,2020-01-03,26.6,13.9,16.96,7.8
Padang,2020-01-04,26.7,8.3,19.58,7.2
Padang,2020-01-05,27.0,7.6,18.9,9.7
Padang,2020-01-06,27.1,12.3,22.22,8.5
Padang,2020-01-07,26.4,11.9,20.79,8.1
Padang,2020-01-08,27.6,0.1,23.03,7.4
Padang,2020-01-09,26.3,40.7,16.83,14.7
Padang,2020-01-10,24.9,44.3,6.93,6.4
Padang,2020-01-11,25.9,5.6,15.55,5.5
Padang,2020-01-12,26.2,3.0,18.11,6.4
Padang,2020-01-13,26.0,4.8,18.57,8.4
Padang,2020-01-14,26.7,0.9,18.62,7.9
Padang,2020-01-15,26.7,31.9,19.71,8.6
Padang,2020-01-16,26.2,6.2,18.99,8.8
Padang,2020-01-17,26.1,11.7,17.06,7.0
Padang,2020-01-18,25.9,20.5,14.41,6.9
Padang,2020-01-19,26.6,10.3,18.14,7.3
Padang,2020-01-20,26.3,28.3,13.47,6.6
Padang,2020-01-21,27.1,9.9,15.01,9.2
Padang,2020-01-22,26.8,17.8,17.33,9.2
Padang,2020-01-23,26.2,26.5,16.2,8.1
Padang,2020-01-24,26.5,13.8,19.92,7.8
Padang,2020-01-25,26.9,5.2,18.7,9.8
Padang,2020-01-26,26.1,10.3,13.07,10.8
Padang,2020-01-27,26.4,3.1,18.66,7.9
Padang,2020-01-28,25.8,36.1,15.78,8.0
Padang,2020-01-29,25.7,54.0,12.87,15.0
Padang,2020-01-30,26.5,0.0,22.26,8.5
Padang,2020-01-31,27.0,0.2,22.62,13.2
Padang,2020-02-01,28.2,1.2,21.02,8.0
Padang,2020-02-02,27.6,23.5,21.25,8.6
Padang,2020-02-03,27.7,7.7,22.06,10.2
Padang,2020-02-04,27.0,1.2,19.41,11.5
Padang,2020-02-05,26.4,5.5,17.45,9.8
Padang,2020-02-06,26.6,5.5,16.39,9.0
Padang,2020-02-07,25.8,19.1,14.33,7.9
Padang,2020-02-08,25.1,203.7,5.81,10.4
Padang,2020-02-09,25.9,4.0,14.31,8.4
Padang,2020-02-10,26.3,5.0,15.42,7.2
Padang,2020-02-11,27.1,7.8,16.52,10.6
Padang,2020-02-12,28.1,1.6,20.44,9.9
Padang,2020-02-13,26.8,13.0,15.3,7.4
Padang,2020-02-14,25.6,15.2,10.94,8.7
Padang,2020-02-15,25.4,46.1,14.54,5.4
Padang,2020-02-16,26.4,2.3,15.65,9.0
Padang,2020-02-17,26.4,11.0,18.55,7.0
Padang,2020-02-18,26.0,20.8,11.19,8.2
Padang,2020-02-19,26.6,2.2,19.15,10.9
Padang,2020-02-20,27.7,0.4,24.05,7.1
Padang,2020-02-21,28.3,0.3,25.16,8.0
Padang,2020-02-22,28.2,0.2,24.72,6.6
Padang,2020-02-23,28.1,0.0,24.39,12.7
Padang,2020-02-24,29.0,0.0,24.54,19.6
Padang,2020-02-25,27.9,3.3,21.68,10.0
Padang,2020-02-26,28.2,2.2,22.78,7.8
Padang,2020-02-27,28.0,4.4,21.97,9.1
Padang,2020-02-28,27.5,8.7,21.05,9.4
Padang,2020-02-29,27.4,14.8,21.38,8.8
Padang,2020-03-01,26.5,21.1,20.45,8.7
Padang,2020-03-02,26.6,55.8,19.41,8.7
Padang,2020-03-03,26.7,25.7,19.35,8.1
Padang,2020-03-04,26.7,12.4,18.03,7.9
Padang,2020-03-05,26.6,3.4,14.32,9.3
Padang,2020-03-06,27.1,0.0,23.37,8.0
Padang,2020-03-07,27.3,0.1,24.97,9.3
Padang,2020-03-08,26.5,6.5,16.68,7.2
Padang,2020-03-09,27.0,1.9,19.59,7.3
Padang,2020-03-10,27.3,0.0,25.93,7.3
Padang,2020-03-11,27.5,0.1,25.85,9.5
Padang,2020-03-12,27.0,26.9,20.35,10.1
Padang,2020-03-13,27.2,5.5,22.35,9.0
Padang,2020-03-14,28.1,4.8,22.37,11.8
Padang,2020-03-15,27.5,3.6,23.16,10.0
Padang,2020-03-16,26.9,26.3,16.78,9.4
Padang,2020-03-17,26.7,89.4,19.1,8.9
Padang,2020-03-18,26.1,69.5,14.98,8.7
Padang,2020-03-19,25.6,43.3,14.13,8.0
Padang,2020-03-20,26.9,3.3,21.72,8.2
Padang,2020-03-21,26.3,7.6,17.51,8.4
Padang,2020-03-22,25.9,13.8,13.4,9.2
Padang,2020-03-23,26.5,7.0,14.91,7.6
Padang,2020-03-24,26.4,13.9,17.07,7.9
Padang,2020-03-25,26.9,6.9,17.23,7.9
Padang,2020-03-26,26.0,26.1,12.86,8.9
Padang,2020-03-27,26.9,7.4,18.51,9.5
Padang,2020-03-28,26.3,5.4,15.97,8.9
Padang,2020-03-29,26.6,12.0,17.82,7.9
Padang,2020-03-30,26.9,2.8,21.61,8.9
Padang,2020-03-31,27.2,0.1,19.26,7.3
Padang,2020-04-01,27.3,0.4,19.72,8.0
Padang,2020-04-02,27.0,1.9,20.47,8.8
Padang,2020-04-03,27.0,0.9,14.03,8.9
Padang,2020-04-04,26.7,14.7,20.08,10.1
Padang,2020-04-05,25.6,63.1,4.2,9.0
